"run","tick","Name2","MonXs","MonYs","ClassNames"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
9,10.0,"9999","9999","9999","9999"
